team,season,drives,d_3_and_out,d_fg,d_td,d_3_and_out_rate,d_fg_rate,d_td_rate
MIN,2013,189,48,30,41,0.25396825396825395,0.15873015873015872,0.21693121693121692
WAS,2013,193,50,24,33,0.25906735751295334,0.12435233160621761,0.17098445595854922
IND,2013,177,48,40,38,0.2711864406779661,0.22598870056497175,0.21468926553672316
LV,2013,188,51,29,33,0.2712765957446808,0.15425531914893617,0.17553191489361702
CIN,2013,186,51,22,46,0.27419354838709675,0.11827956989247312,0.24731182795698925
TEN,2013,175,48,28,36,0.2742857142857143,0.16,0.2057142857142857
TB,2013,181,50,29,28,0.27624309392265195,0.16022099447513813,0.15469613259668508
PIT,2013,179,51,30,37,0.2849162011173184,0.16759776536312848,0.20670391061452514
BUF,2013,203,58,36,31,0.2857142857142857,0.17733990147783252,0.15270935960591134
SEA,2013,170,49,34,40,0.28823529411764703,0.2,0.23529411764705882
BAL,2013,201,59,41,26,0.2935323383084577,0.20398009950248755,0.12935323383084577
SF,2013,180,53,35,39,0.29444444444444445,0.19444444444444445,0.21666666666666667
MIA,2013,182,55,32,32,0.3021978021978022,0.17582417582417584,0.17582417582417584
NYG,2013,198,62,26,29,0.31313131313131315,0.13131313131313133,0.14646464646464646
LA,2013,175,55,28,32,0.3142857142857143,0.16,0.18285714285714286
NYJ,2013,191,61,35,25,0.3193717277486911,0.18324607329842932,0.13089005235602094
JAX,2013,192,66,25,23,0.34375,0.13020833333333334,0.11979166666666667
NE,2012,179,24,33,59,0.1340782122905028,0.18435754189944134,0.329608938547486
DAL,2012,167,32,29,36,0.19161676646706588,0.17365269461077845,0.2155688622754491
GB,2012,175,37,30,49,0.21142857142857144,0.17142857142857143,0.28
SEA,2012,160,34,27,43,0.2125,0.16875,0.26875
DEN,2012,171,37,31,48,0.21637426900584794,0.18128654970760233,0.2807017543859649
MIA,2012,170,37,28,28,0.21764705882352942,0.16470588235294117,0.16470588235294117
IND,2012,164,36,31,31,0.21951219512195122,0.18902439024390244,0.18902439024390244
PHI,2012,177,39,31,27,0.22033898305084745,0.1751412429378531,0.15254237288135594
WAS,2012,171,38,29,46,0.2222222222222222,0.1695906432748538,0.26900584795321636
CAR,2012,167,38,21,40,0.2275449101796407,0.12574850299401197,0.23952095808383234
NYG,2012,168,39,39,44,0.23214285714285715,0.23214285714285715,0.2619047619047619
TB,2012,185,43,33,39,0.23243243243243245,0.1783783783783784,0.21081081081081082
DET,2012,189,46,35,36,0.24338624338624337,0.18518518518518517,0.19047619047619047
SF,2012,171,42,42,40,0.24561403508771928,0.24561403508771928,0.23391812865497075
MIN,2012,174,43,38,34,0.2471264367816092,0.21839080459770116,0.19540229885057472
ATL,2012,169,42,38,44,0.2485207100591716,0.22485207100591717,0.2603550295857988
NO,2012,175,44,22,51,0.25142857142857145,0.12571428571428572,0.2914285714285714
PIT,2012,176,46,27,34,0.26136363636363635,0.1534090909090909,0.19318181818181818
KC,2012,175,46,32,17,0.26285714285714284,0.18285714285714286,0.09714285714285714
BUF,2012,180,50,23,36,0.2777777777777778,0.12777777777777777,0.2
TEN,2012,183,51,31,27,0.2786885245901639,0.16939890710382513,0.14754098360655737
CHI,2012,185,53,33,32,0.2864864864864865,0.1783783783783784,0.17297297297297298
LV,2012,183,53,32,27,0.2896174863387978,0.17486338797814208,0.14754098360655737
CLE,2012,185,54,31,28,0.2918918918918919,0.16756756756756758,0.15135135135135136
BAL,2012,182,54,32,39,0.2967032967032967,0.17582417582417584,0.21428571428571427
HOU,2012,192,57,38,41,0.296875,0.19791666666666666,0.21354166666666666
LA,2012,168,50,28,26,0.2976190476190476,0.16666666666666666,0.15476190476190477
NYJ,2012,187,56,25,26,0.2994652406417112,0.13368983957219252,0.13903743315508021
CIN,2012,180,55,34,39,0.3055555555555556,0.18888888888888888,0.21666666666666667
LAC,2012,173,55,25,30,0.3179190751445087,0.14450867052023122,0.17341040462427745
JAX,2012,189,61,28,25,0.32275132275132273,0.14814814814814814,0.13227513227513227
ARI,2012,205,71,27,21,0.3463414634146341,0.13170731707317074,0.1024390243902439
NO,2011,167,25,32,61,0.1497005988023952,0.19161676646706588,0.3652694610778443
LAC,2011,165,26,35,42,0.15757575757575756,0.21212121212121213,0.2545454545454545
PHI,2011,181,31,26,41,0.1712707182320442,0.143646408839779,0.2265193370165746
NE,2011,169,30,33,57,0.17751479289940827,0.1952662721893491,0.33727810650887574
GB,2011,164,30,27,63,0.18292682926829268,0.16463414634146342,0.38414634146341464
DAL,2011,172,35,33,38,0.20348837209302326,0.19186046511627908,0.22093023255813954
PIT,2011,158,33,30,34,0.2088607594936709,0.189873417721519,0.21518987341772153
BAL,2011,176,37,38,36,0.21022727272727273,0.2159090909090909,0.20454545454545456
DET,2011,192,41,29,50,0.21354166666666666,0.15104166666666666,0.2604166666666667
WAS,2011,179,39,39,27,0.21787709497206703,0.21787709497206703,0.15083798882681565
ATL,2011,171,38,27,43,0.2222222222222222,0.15789473684210525,0.25146198830409355
CLE,2011,170,41,29,20,0.2411764705882353,0.17058823529411765,0.11764705882352941
BUF,2011,180,46,28,36,0.25555555555555554,0.15555555555555556,0.2
NYG,2011,190,49,24,46,0.2578947368421053,0.12631578947368421,0.24210526315789474
SEA,2011,189,49,29,30,0.25925925925925924,0.15343915343915343,0.15873015873015872
TB,2011,168,44,26,26,0.2619047619047619,0.15476190476190477,0.15476190476190477
MIN,2011,185,49,28,38,0.2648648648648649,0.15135135135135136,0.20540540540540542
CAR,2011,169,45,27,46,0.26627218934911245,0.15976331360946747,0.27218934911242604
ARI,2011,190,51,24,33,0.26842105263157895,0.12631578947368421,0.1736842105263158
HOU,2011,178,48,36,36,0.2696629213483146,0.20224719101123595,0.20224719101123595
LV,2011,186,51,32,36,0.27419354838709675,0.17204301075268819,0.1935483870967742
TEN,2011,176,49,32,30,0.2784090909090909,0.18181818181818182,0.17045454545454544
MIA,2011,188,53,39,31,0.28191489361702127,0.2074468085106383,0.16489361702127658
